filename,source_url,published_date,document_type,title,contains_nifty500_changes,can_parse_automatically,parse_status,parsed_event_count,notes
ind_prs15062021.pdf,https://www.niftyindices.com/Press_Release/ind_prs15062021.pdf,2021-06-15,PDF,"Replacements in Indices w.e.f. June 30, 2021",True,True,PARSED,2,Parsed 2 Nifty 500 event rows.
ind_prs23082021.pdf,https://www.niftyindices.com/Press_Release/ind_prs23082021.pdf,2021-08-23,PDF,Revision in criteria and replacements in indices,True,False,SUPERSEDED_BY_LATER_OFFICIAL_RELEASE,0,"Visually reviewed pages 1, 3 and 4. The PDF contains 23 Nifty 500 exclusions and 23 inclusions effective September 30, 2021, but the later official September 15, 2021 release states the August 23 REIT/InvIT inclusions were revoked and the earlier replacement list stands replaced. Events from this superseded document are not applied."
ind_prs15092021.pdf,https://www.niftyindices.com/Press_Release/ind_prs15092021.pdf,2021-09-15,PDF,Replacements in indices and revision in criteria,True,True,PARSED,44,Parsed 44 Nifty 500 event rows.
ind_prs20092021.pdf,https://www.niftyindices.com/Press_Release/ind_prs20092021.pdf,2021-09-20,PDF,"Replacements in indices w.e.f. September 30, 2021",False,True,NO_NIFTY500_CHANGES,0,No exact Nifty 500 membership-change section found.
ind_prs08102021.pdf,https://www.niftyindices.com/Press_Release/ind_prs08102021.pdf,2021-10-08,PDF,Revision in criteria of NIFTY Microcap 250 index,False,True,NO_NIFTY500_CHANGES,0,No exact Nifty 500 membership-change section found.
ind_prs12102021.pdf,https://www.niftyindices.com/Press_Release/ind_prs12102021.pdf,2021-10-12,PDF,"Revision in criteria and replacement in NIFTY 5 yr Benchmark G-sec index w.e.f. October 18, 2021",False,True,NO_NIFTY500_CHANGES,0,No exact Nifty 500 membership-change section found.
ind_prs22102021.pdf,https://www.niftyindices.com/Press_Release/ind_prs22102021.pdf,2021-10-22,PDF,Revision in index maintenance guidelines and replacements in indices,True,True,PARSED,2,Parsed 2 Nifty 500 event rows.
ind_prs08122021.pdf,https://www.niftyindices.com/Press_Release/ind_prs08122021.pdf,2021-12-08,PDF,"Replacements in indices w.e.f. December 31, 2021",False,True,NO_NIFTY500_CHANGES,0,No exact Nifty 500 membership-change section found.
ind_prs24022022_1.pdf,https://www.niftyindices.com/Press_Release/ind_prs24022022_1.pdf,2022-02-24,PDF,Revision in criteria and replacements in indices,True,True,PARSED,64,Parsed 64 Nifty 500 event rows.
ind_prs08032022.pdf,https://www.niftyindices.com/Press_Release/ind_prs08032022.pdf,2022-03-08,PDF,"Replacements in indices w.e.f. March 31, 2022",False,True,NO_NIFTY500_CHANGES,0,No exact Nifty 500 membership-change section found.
ind_prs05042022.pdf,https://www.niftyindices.com/Press_Release/ind_prs05042022.pdf,2022-04-05,PDF,"Replacements in indices w.e.f. May 04, 2022",True,True,PARSED,2,Parsed 2 Nifty 500 event rows.
ind_prs05042022_1.pdf,https://www.niftyindices.com/Press_Release/ind_prs05042022_1.pdf,2022-04-05,PDF,"Replacements in indices w.e.f. April 12, 2022",True,True,PARSED,2,Parsed 2 Nifty 500 event rows.
ind_prs06042022.pdf,https://www.niftyindices.com/Press_Release/ind_prs06042022.pdf,2022-04-06,PDF,"Replacement in indices w.e.f. April 07, 2022",True,True,PARSED,2,Parsed 2 Nifty 500 event rows.
ind_prs24052022.pdf,https://www.niftyindices.com/Press_Release/ind_prs24052022.pdf,2022-05-24,PDF,"Replacement in indices w.e.f. May 31, 2022",True,True,PARSED,2,Parsed 2 Nifty 500 event rows.
ind_prs15062022.pdf,https://www.niftyindices.com/Press_Release/ind_prs15062022.pdf,2022-06-15,PDF,"Replacements in indices w.e.f. June 30, 2022",False,True,NO_NIFTY500_CHANGES,0,No exact Nifty 500 membership-change section found.
ind_prs11072022.pdf,https://www.niftyindices.com/Press_Release/ind_prs11072022.pdf,2022-07-11,PDF,"Replacements in indices w.e.f. August 08, 2022",True,True,PARSED,6,Parsed 6 Nifty 500 event rows.
